employee_id,employee_name,gross_pay,medical_deduction,dependent_stipend,taxable_pay,employee_taxes,net_pay,employer_taxes
E1001,Maya Rodriguez,1192.31,100.0,90.0,1182.31,218.13,964.18,180.89
E1002,Noah Carter,1353.75,50.0,0.0,1303.75,240.54,1063.21,199.47
E1003,Ava Thompson,1546.88,100.0,135.0,1581.88,291.86,1290.02,242.03
E1004,Liam Brooks,1355.77,50.0,45.0,1350.77,249.22,1101.55,206.67
E1005,Emma Wilson,1070.0,50.0,0.0,1020.0,188.19,831.81,156.06
E1006,Ethan Davis,1212.0,100.0,90.0,1202.0,221.76,980.24,183.9
E1007,Olivia Miller,873.31,50.0,45.0,868.31,160.21,708.1,132.86
E1008,James Anderson,1596.15,100.0,180.0,1676.15,309.25,1366.9,256.45
E1009,Sophia Martinez,1307.69,50.0,0.0,1257.69,232.05,1025.64,192.43
E1010,Benjamin Taylor,956.75,50.0,0.0,906.75,167.3,739.45,138.74
E1011,Isabella Moore,1240.38,100.0,90.0,1230.38,227.0,1003.38,188.24
